UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,00053,2200053,Acauã
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,00103,2200103,Agricolândia
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,00202,2200202,Água Branca
22,Piauí,04,Sudeste Piauiense,014,Pio IX,00251,2200251,Alagoinha do Piauí
22,Piauí,04,Sudeste Piauiense,014,Pio IX,00277,2200277,Alegrete do Piauí
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,00301,2200301,Alto Longá
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,00400,2200400,Altos
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,00459,2200459,Alvorada do Gurguéia
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,00509,2200509,Amarante
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,00608,2200608,Angical do Piauí
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,00707,2200707,Anísio de Abreu
22,Piauí,03,Sudoeste Piauiense,008,Bertolínia,00806,2200806,Antônio Almeida
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,00905,2200905,Aroazes
22,Piauí,04,Sudeste Piauiense,013,Picos,00954,2200954,Aroeiras do Itaim
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,01002,2201002,Arraial
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,01051,2201051,Assunção do Piauí
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,01101,2201101,Avelino Lopes
22,Piauí,03,Sudoeste Piauiense,007,Alto Parnaíba Piauiense,01150,2201150,Baixa Grande do Ribeiro
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,01176,2201176,Barra D'Alcântara
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,01200,2201200,Barras
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,01309,2201309,Barreiras do Piauí
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,01408,2201408,Barro Duro
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,01507,2201507,Batalha
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,01556,2201556,Bela Vista do Piauí
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,01572,2201572,Belém do Piauí
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,01606,2201606,Beneditinos
22,Piauí,03,Sudoeste Piauiense,008,Bertolínia,01705,2201705,Bertolínia
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,01739,2201739,Betânia do Piauí
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,01770,2201770,Boa Hora
22,Piauí,04,Sudeste Piauiense,013,Picos,01804,2201804,Bocaina
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,01903,2201903,Bom Jesus
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,01919,2201919,Bom Princípio do Piauí
